name	b_date	b_month	b_year	sun_sign	b_country	job
Joan Rivers	8	June	1933	Gemini	United States	actress,_comedian,_writer
Aaliyah	16	January	1979	Capricorn	United States	singer
Sarah Wright	28	September	1983	Libra	U.S.	actress
Lindsay Wagner	22	June	1949	Cancer	United States	actress
Ilana Glazer	12	April	1987	Aries	United States	actress,_comedian
Ronda Rousey	1	February	1987	Aquarius	United States	professional_wrestler
Summer Glau	24	July	1981	Leo	United States	actress
Charisma Carpenter	23	July	1970	Leo	United States	actress
Natasha Leggero	26	March	1974	Aries	United States	actress
Aly Michalka	25	March	1989	Aries	United States	actress
Kim Yoo-jung	22	September	1999	Virgo	South Korea	south_korean_actress
Krystal Jung	24	October	1994	Scorpio	United States	singer
Brooke Hogan	5	May	1988	Taurus	United States	reality_tv_star
Ellen DeGeneres	26	January	1958	Aquarius	United States	comedian
Tina Majorino	7	February	1985	Aquarius	United States	actress
Roxie Roker	28	August	1929	Virgo	United States	actress
Katherine Parkinson	9	March	1978	Pisces	United Kingdom	actress
Candice Patton	24	June	1988	Cancer	United States	actress
Avril Lavigne	27	September	1984	Libra	Canada	singer-songwriter
Julie Newmar	16	August	1933	Leo	United States	actress
Nico	16	October	1938	Libra	Germany	singer
Leelee Sobieski	10	June	1983	Gemini	United States	actress
Kim Dickens	18	June	1965	Gemini	United States	actress
Courtney Thorne-Smith	8	November	1967	Scorpio	United States	actress
Alicia Keys	25	January	1981	Aquarius	United States	singer-songwriter
Ruby Rose	20	March	1986	Pisces	Australia	model
Caroline Aherne	24	December	1963	Capricorn	England	comedian
Monica Potter	30	June	1971	Cancer	United States	actress
Loretta Young	6	January	1913	Capricorn	U.S.	actress
Dyan Cannon	4	January	1937	Capricorn	United States	actress
Ester Expósito	26	January	2000	Aquarius	Spain	actress,_model
Deborah Kerr	30	September	1921	Libra	Scotland	actress
Vanessa Ferlito	28	December	1977	Capricorn	United States	actress
Michaela Conlin	9	June	1978	Gemini	United States	actress
Keeley Hawes	10	February	1976	Aquarius	England	actress
Willa Holland	18	June	1991	Gemini	United States	actress
Ella Purnell	17	September	1996	Virgo	England	actress
Honor Blackman	22	August	1925	Leo	England	actress
Parminder Nagra	5	October	1975	Libra	England	actress
Lana Parrilla	15	July	1977	Cancer	United States	actress
Karrueche Tran	17	May	1988	Taurus	United States	actress,_model
Jessica Caban	13	June	1982	Gemini	United States	model,_actress
Gabrielle Anwar	4	February	1970	Aquarius	England	actress
Christina Aguilera	18	December	1980	Sagittarius	United States	singer-songwriter
Barbra Streisand	24	April	1942	Taurus	United States	singer_&amp;_actress
Renée Estevez	2	April	1967	Aries	United States	actress
Molly Shannon	16	September	1964	Virgo	U.S.	comic_actress
Emily Ratajkowski	7	June	1991	Gemini	England	model,_actress
Agnes Moorehead	6	December	1900	Sagittarius	United States	actress
Annette Funicello	22	October	1942	Libra	United States	actress
Kelly Rohrbach	21	January	1990	Aquarius	United States	actress
Kate Siegel	9	August	1982	Leo	United States	actress
